coral_id,date,transplantation,type,knoll,species,survival_status,trapezia,alpheus,spirobranchus_giganteus,collector,coral_id_raw,species_raw,date_raw,genus,cohort,treatment,coral_uid,monitoring_start,months_of_monitoring,pre_monitoring_date_flag,inverts_observed,collector_clean,bio_colony_id,source_coral_uid,source_cohort,source_monitoring_start,source_transplantation,survey_occasion,month_bin
1Sp10,2006-07-01,control_unified,control,1,Stylophora_pistillata,0,2,0,0,NA,1Sp10,Stylophora_pistillata,1/7/2006,Stylophora,Unified,control,1Sp10_control_unified,2005-12-01,7,FALSE,TRUE,NA,1Sp10,1Sp10_control_T1,T1,2005-12-01,control_T1,8,7
1Sp10,2006-08-01,control_unified,control,1,Stylophora_pistillata,0,2,0,1,NA,1Sp10,Stylophora_pistillata,1/8/2006,Stylophora,Unified,control,1Sp10_control_unified,2005-12-01,8,FALSE,TRUE,NA,1Sp10,1Sp10_control_T1,T1,2005-12-01,control_T1,9,8
1Sp10,2006-09-01,control_unified,control,1,Stylophora_pistillata,0,1,0,1,NA,1Sp10,Stylophora_pistillata,1/9/2006,Stylophora,Unified,control,1Sp10_control_unified,2005-12-01,9,FALSE,TRUE,NA,1Sp10,1Sp10_control_T1,T1,2005-12-01,control_T1,10,9
1Sp10,2006-11-01,control_unified,control,1,Stylophora_pistillata,0,2,0,1,NA,1Sp10,Stylophora_pistillata,1/11/2006,Stylophora,Unified,control,1Sp10_control_unified,2005-12-01,11,FALSE,TRUE,NA,1Sp10,1Sp10_control_T1,T1,2005-12-01,control_T1,11,11
1Sp10,2006-12-01,control_unified,control,1,Stylophora_pistillata,0,0,0,1,NA,1Sp10,Stylophora_pistillata,1/12/2006,Stylophora,Unified,control,1Sp10_control_unified,2005-12-01,12,FALSE,TRUE,NA,1Sp10,1Sp10_control_T1,T1,2005-12-01,control_T1,12,12
1Sp10,2007-02-01,control_unified,control,1,Stylophora_pistillata,0,2,0,1,NA,1Sp10,Stylophora_pistillata,1/2/2007,Stylophora,Unified,control,1Sp10_control_unified,2005-12-01,14,FALSE,TRUE,NA,1Sp10,1Sp10_control_T1,T1,2005-12-01,control_T1,13,14
1Sp10,2007-04-01,control_unified,control,1,Stylophora_pistillata,0,2,0,1,NA,1Sp10,Stylophora_pistillata,1/4/2007,Stylophora,Unified,control,1Sp10_control_unified,2005-12-01,16,FALSE,TRUE,NA,1Sp10,1Sp10_control_T1,T1,2005-12-01,control_T1,14,16
1Sp10,2007-06-01,control_unified,control,1,Stylophora_pistillata,0,2,0,2,NA,1Sp10,Stylophora_pistillata,1/6/2007,Stylophora,Unified,control,1Sp10_control_unified,2005-12-01,18,FALSE,TRUE,NA,1Sp10,1Sp10_control_T1,T1,2005-12-01,control_T1,15,18
1Sp10,2007-07-01,control_unified,control,1,Stylophora_pistillata,0,2,0,2,NA,1Sp10,Stylophora_pistillata,1/7/2007,Stylophora,Unified,control,1Sp10_control_unified,2005-12-01,19,FALSE,TRUE,NA,1Sp10,1Sp10_control_T1,T1,2005-12-01,control_T1,16,19
1Sp10,2007-09-01,control_unified,control,1,Stylophora_pistillata,0,3,0,2,NA,1Sp10,Stylophora_pistillata,1/9/2007,Stylophora,Unified,control,1Sp10_control_unified,2005-12-01,21,FALSE,TRUE,NA,1Sp10,1Sp10_control_T1,T1,2005-12-01,control_T1,17,21
1Sp10,2007-10-01,control_unified,control,1,Stylophora_pistillata,0,2,0,1,NA,1Sp10,Stylophora_pistillata,1/10/2007,Stylophora,Unified,control,1Sp10_control_unified,2005-12-01,22,FALSE,TRUE,NA,1Sp10,1Sp10_control_T2,T2,2007-06-01,control_T2,18,22
1Sp10,2007-12-01,control_unified,control,1,Stylophora_pistillata,0,1,0,1,NA,1Sp10,Stylophora_pistillata,1/12/2007,Stylophora,Unified,control,1Sp10_control_unified,2005-12-01,24,FALSE,TRUE,NA,1Sp10,1Sp10_control_T2,T2,2007-06-01,control_T2,19,24
1Sp10,2008-09-01,control_unified,control,1,Stylophora_pistillata,0,2,0,0,NA,1Sp10,Stylophora_pistillata,1/9/2008,Stylophora,Unified,control,1Sp10_control_unified,2005-12-01,33,FALSE,TRUE,NA,1Sp10,1Sp10_control_T2,T2,2007-06-01,control_T2,20,33
1Sp10,2008-12-01,control_unified,control,1,Stylophora_pistillata,0,2,0,1,NA,1Sp10,Stylophora_pistillata,1/12/2008,Stylophora,Unified,control,1Sp10_control_unified,2005-12-01,36,FALSE,TRUE,NA,1Sp10,1Sp10_control_T2,T2,2007-06-01,control_T2,21,36
1Sp10,2009-04-01,control_unified,control,1,Stylophora_pistillata,0,2,0,2,NA,1Sp10,Stylophora_pistillata,1/4/2009,Stylophora,Unified,control,1Sp10_control_unified,2005-12-01,40,FALSE,TRUE,NA,1Sp10,1Sp10_control_T2,T2,2007-06-01,control_T2,22,40
1Sp10,2009-09-01,control_unified,control,1,Stylophora_pistillata,0,2,0,0,NA,1Sp10,Stylophora_pistillata,1/9/2009,Stylophora,Unified,control,1Sp10_control_unified,2005-12-01,45,FALSE,TRUE,NA,1Sp10,1Sp10_control_T2,T2,2007-06-01,control_T2,23,45
1Sp10,2011-11-01,control_unified,control,1,Stylophora_pistillata,0,2,0,2,NA,1Sp10,Stylophora_pistillata,1/11/2011,Stylophora,Unified,control,1Sp10_control_unified,2005-12-01,71,FALSE,TRUE,NA,1Sp10,1Sp10_control_T2,T2,2007-06-01,control_T2,26,71
1Sp10,2012-03-01,control_unified,control,1,Stylophora_pistillata,0,0,0,1,NA,1Sp10,Stylophora_pistillata,1/3/2012,Stylophora,Unified,control,1Sp10_control_unified,2005-12-01,75,FALSE,TRUE,NA,1Sp10,1Sp10_control_T2,T2,2007-06-01,control_T2,27,75
1Sp2,2005-12-01,control_unified,control,1,Stylophora_pistillata,0,1,0,0,NA,1Sp2,Stylophora_pistillata,1/12/2005,Stylophora,Unified,control,1Sp2_control_unified,2005-12-01,0,FALSE,TRUE,NA,1Sp2,1Sp2_control_T1,T1,2005-12-01,control_T1,1,0
1Sp2,2006-01-01,control_unified,control,1,Stylophora_pistillata,0,0,0,0,NA,1Sp2,Stylophora_pistillata,1/1/2006,Stylophora,Unified,control,1Sp2_control_unified,2005-12-01,1,FALSE,TRUE,NA,1Sp2,1Sp2_control_T1,T1,2005-12-01,control_T1,2,1
1Sp2,2006-02-01,control_unified,control,1,Stylophora_pistillata,0,1,0,0,NA,1Sp2,Stylophora_pistillata,1/2/2006,Stylophora,Unified,control,1Sp2_control_unified,2005-12-01,2,FALSE,TRUE,NA,1Sp2,1Sp2_control_T1,T1,2005-12-01,control_T1,3,2
1Sp2,2006-03-01,control_unified,control,1,Stylophora_pistillata,0,1,0,0,NA,1Sp2,Stylophora_pistillata,1/3/2006,Stylophora,Unified,control,1Sp2_control_unified,2005-12-01,3,FALSE,TRUE,NA,1Sp2,1Sp2_control_T1,T1,2005-12-01,control_T1,4,3
1Sp2,2006-04-01,control_unified,control,1,Stylophora_pistillata,0,1,0,0,NA,1Sp2,Stylophora_pistillata,1/4/2006,Stylophora,Unified,control,1Sp2_control_unified,2005-12-01,4,FALSE,TRUE,NA,1Sp2,1Sp2_control_T1,T1,2005-12-01,control_T1,5,4
1Sp2,2006-05-01,control_unified,control,1,Stylophora_pistillata,0,2,0,0,NA,1Sp2,Stylophora_pistillata,1/5/2006,Stylophora,Unified,control,1Sp2_control_unified,2005-12-01,5,FALSE,TRUE,NA,1Sp2,1Sp2_control_T1,T1,2005-12-01,control_T1,6,5
1Sp2,2006-06-01,control_unified,control,1,Stylophora_pistillata,0,2,0,0,NA,1Sp2,Stylophora_pistillata,1/6/2006,Stylophora,Unified,control,1Sp2_control_unified,2005-12-01,6,FALSE,TRUE,NA,1Sp2,1Sp2_control_T1,T1,2005-12-01,control_T1,7,6
1Sp2,2006-07-01,control_unified,control,1,Stylophora_pistillata,0,0,0,1,NA,1Sp2,Stylophora_pistillata,1/7/2006,Stylophora,Unified,control,1Sp2_control_unified,2005-12-01,7,FALSE,TRUE,NA,1Sp2,1Sp2_control_T1,T1,2005-12-01,control_T1,8,7
1Sp2,2006-08-01,control_unified,control,1,Stylophora_pistillata,0,2,0,1,NA,1Sp2,Stylophora_pistillata,1/8/2006,Stylophora,Unified,control,1Sp2_control_unified,2005-12-01,8,FALSE,TRUE,NA,1Sp2,1Sp2_control_T1,T1,2005-12-01,control_T1,9,8
1Sp2,2006-09-01,control_unified,control,1,Stylophora_pistillata,0,1,0,1,NA,1Sp2,Stylophora_pistillata,1/9/2006,Stylophora,Unified,control,1Sp2_control_unified,2005-12-01,9,FALSE,TRUE,NA,1Sp2,1Sp2_control_T1,T1,2005-12-01,control_T1,10,9
1Sp2,2006-11-01,control_unified,control,1,Stylophora_pistillata,0,2,0,1,NA,1Sp2,Stylophora_pistillata,1/11/2006,Stylophora,Unified,control,1Sp2_control_unified,2005-12-01,11,FALSE,TRUE,NA,1Sp2,1Sp2_control_T1,T1,2005-12-01,control_T1,11,11
1Sp2,2006-12-01,control_unified,control,1,Stylophora_pistillata,0,2,0,1,NA,1Sp2,Stylophora_pistillata,1/12/2006,Stylophora,Unified,control,1Sp2_control_unified,2005-12-01,12,FALSE,TRUE,NA,1Sp2,1Sp2_control_T1,T1,2005-12-01,control_T1,12,12
1Sp2,2007-02-01,control_unified,control,1,Stylophora_pistillata,0,2,0,1,NA,1Sp2,Stylophora_pistillata,1/2/2007,Stylophora,Unified,control,1Sp2_control_unified,2005-12-01,14,FALSE,TRUE,NA,1Sp2,1Sp2_control_T1,T1,2005-12-01,control_T1,13,14
1Sp2,2007-04-01,control_unified,control,1,Stylophora_pistillata,0,2,0,1,NA,1Sp2,Stylophora_pistillata,1/4/2007,Stylophora,Unified,control,1Sp2_control_unified,2005-12-01,16,FALSE,TRUE,NA,1Sp2,1Sp2_control_T1,T1,2005-12-01,control_T1,14,16
1Sp2,2007-06-01,control_unified,control,1,Stylophora_pistillata,0,2,0,0,NA,1Sp2,Stylophora_pistillata,1/6/2007,Stylophora,Unified,control,1Sp2_control_unified,2005-12-01,18,FALSE,TRUE,NA,1Sp2,1Sp2_control_T1,T1,2005-12-01,control_T1,15,18
1Sp2,2007-07-01,control_unified,control,1,Stylophora_pistillata,0,2,0,0,NA,1Sp2,Stylophora_pistillata,1/7/2007,Stylophora,Unified,control,1Sp2_control_unified,2005-12-01,19,FALSE,TRUE,NA,1Sp2,1Sp2_control_T1,T1,2005-12-01,control_T1,16,19
1Sp2,2007-09-01,control_unified,control,1,Stylophora_pistillata,0,2,0,0,NA,1Sp2,Stylophora_pistillata,1/9/2007,Stylophora,Unified,control,1Sp2_control_unified,2005-12-01,21,FALSE,TRUE,NA,1Sp2,1Sp2_control_T1,T1,2005-12-01,control_T1,17,21
1Sp2,2007-10-01,control_unified,control,1,Stylophora_pistillata,0,2,0,0,NA,1Sp2,Stylophora_pistillata,1/10/2007,Stylophora,Unified,control,1Sp2_control_unified,2005-12-01,22,FALSE,TRUE,NA,1Sp2,1Sp2_control_T2,T2,2007-06-01,control_T2,18,22
1Sp3,2005-12-01,control_unified,control,1,Stylophora_pistillata,0,0,0,0,NA,1Sp3,Stylophora_pistillata,1/12/2005,Stylophora,Unified,control,1Sp3_control_unified,2005-12-01,0,FALSE,TRUE,NA,1Sp3,1Sp3_control_T1,T1,2005-12-01,control_T1,1,0
1Sp3,2006-01-01,control_unified,control,1,Stylophora_pistillata,0,0,0,0,NA,1Sp3,Stylophora_pistillata,1/1/2006,Stylophora,Unified,control,1Sp3_control_unified,2005-12-01,1,FALSE,TRUE,NA,1Sp3,1Sp3_control_T1,T1,2005-12-01,control_T1,2,1
1Sp3,2006-02-01,control_unified,control,1,Stylophora_pistillata,0,2,0,0,NA,1Sp3,Stylophora_pistillata,1/2/2006,Stylophora,Unified,control,1Sp3_control_unified,2005-12-01,2,FALSE,TRUE,NA,1Sp3,1Sp3_control_T1,T1,2005-12-01,control_T1,3,2
1Sp3,2006-03-01,control_unified,control,1,Stylophora_pistillata,0,0,0,0,NA,1Sp3,Stylophora_pistillata,1/3/2006,Stylophora,Unified,control,1Sp3_control_unified,2005-12-01,3,FALSE,TRUE,NA,1Sp3,1Sp3_control_T1,T1,2005-12-01,control_T1,4,3
1Sp3,2006-04-01,control_unified,control,1,Stylophora_pistillata,0,0,0,0,NA,1Sp3,Stylophora_pistillata,1/4/2006,Stylophora,Unified,control,1Sp3_control_unified,2005-12-01,4,FALSE,TRUE,NA,1Sp3,1Sp3_control_T1,T1,2005-12-01,control_T1,5,4
1Sp3,2006-05-01,control_unified,control,1,Stylophora_pistillata,0,0,0,0,NA,1Sp3,Stylophora_pistillata,1/5/2006,Stylophora,Unified,control,1Sp3_control_unified,2005-12-01,5,FALSE,TRUE,NA,1Sp3,1Sp3_control_T1,T1,2005-12-01,control_T1,6,5
1Sp3,2006-06-01,control_unified,control,1,Stylophora_pistillata,0,0,0,0,NA,1Sp3,Stylophora_pistillata,1/6/2006,Stylophora,Unified,control,1Sp3_control_unified,2005-12-01,6,FALSE,TRUE,NA,1Sp3,1Sp3_control_T1,T1,2005-12-01,control_T1,7,6
1Sp3,2006-07-01,control_unified,control,1,Stylophora_pistillata,0,0,0,0,NA,1Sp3,Stylophora_pistillata,1/7/2006,Stylophora,Unified,control,1Sp3_control_unified,2005-12-01,7,FALSE,TRUE,NA,1Sp3,1Sp3_control_T1,T1,2005-12-01,control_T1,8,7
1Sp3,2006-08-01,control_unified,control,1,Stylophora_pistillata,0,1,0,0,NA,1Sp3,Stylophora_pistillata,1/8/2006,Stylophora,Unified,control,1Sp3_control_unified,2005-12-01,8,FALSE,TRUE,NA,1Sp3,1Sp3_control_T1,T1,2005-12-01,control_T1,9,8
1Sp3,2006-09-01,control_unified,control,1,Stylophora_pistillata,0,0,0,0,NA,1Sp3,Stylophora_pistillata,1/9/2006,Stylophora,Unified,control,1Sp3_control_unified,2005-12-01,9,FALSE,TRUE,NA,1Sp3,1Sp3_control_T1,T1,2005-12-01,control_T1,10,9
1Sp3,2006-11-01,control_unified,control,1,Stylophora_pistillata,0,0,0,0,NA,1Sp3,Stylophora_pistillata,1/11/2006,Stylophora,Unified,control,1Sp3_control_unified,2005-12-01,11,FALSE,TRUE,NA,1Sp3,1Sp3_control_T1,T1,2005-12-01,control_T1,11,11
1Sp3,2006-12-01,control_unified,control,1,Stylophora_pistillata,0,0,0,0,NA,1Sp3,Stylophora_pistillata,1/12/2006,Stylophora,Unified,control,1Sp3_control_unified,2005-12-01,12,FALSE,TRUE,NA,1Sp3,1Sp3_control_T1,T1,2005-12-01,control_T1,12,12
1Sp3,2007-02-01,control_unified,control,1,Stylophora_pistillata,0,0,0,0,NA,1Sp3,Stylophora_pistillata,1/2/2007,Stylophora,Unified,control,1Sp3_control_unified,2005-12-01,14,FALSE,TRUE,NA,1Sp3,1Sp3_control_T1,T1,2005-12-01,control_T1,13,14
1Sp4,2005-12-01,control_unified,control,1,Stylophora_pistillata,0,0,0,0,NA,1Sp4,Stylophora_pistillata,1/12/2005,Stylophora,Unified,control,1Sp4_control_unified,2005-12-01,0,FALSE,TRUE,NA,1Sp4,1Sp4_control_T1,T1,2005-12-01,control_T1,1,0
1Sp4,2006-01-01,control_unified,control,1,Stylophora_pistillata,0,2,0,0,NA,1Sp4,Stylophora_pistillata,1/1/2006,Stylophora,Unified,control,1Sp4_control_unified,2005-12-01,1,FALSE,TRUE,NA,1Sp4,1Sp4_control_T1,T1,2005-12-01,control_T1,2,1
1Sp4,2006-02-01,control_unified,control,1,Stylophora_pistillata,0,3,0,0,NA,1Sp4,Stylophora_pistillata,1/2/2006,Stylophora,Unified,control,1Sp4_control_unified,2005-12-01,2,FALSE,TRUE,NA,1Sp4,1Sp4_control_T1,T1,2005-12-01,control_T1,3,2
1Sp4,2006-03-01,control_unified,control,1,Stylophora_pistillata,0,2,0,0,NA,1Sp4,Stylophora_pistillata,1/3/2006,Stylophora,Unified,control,1Sp4_control_unified,2005-12-01,3,FALSE,TRUE,NA,1Sp4,1Sp4_control_T1,T1,2005-12-01,control_T1,4,3
1Sp4,2006-04-01,control_unified,control,1,Stylophora_pistillata,0,1,0,0,NA,1Sp4,Stylophora_pistillata,1/4/2006,Stylophora,Unified,control,1Sp4_control_unified,2005-12-01,4,FALSE,TRUE,NA,1Sp4,1Sp4_control_T1,T1,2005-12-01,control_T1,5,4
1Sp4,2006-05-01,control_unified,control,1,Stylophora_pistillata,0,2,0,0,NA,1Sp4,Stylophora_pistillata,1/5/2006,Stylophora,Unified,control,1Sp4_control_unified,2005-12-01,5,FALSE,TRUE,NA,1Sp4,1Sp4_control_T1,T1,2005-12-01,control_T1,6,5
1Sp4,2006-06-01,control_unified,control,1,Stylophora_pistillata,0,2,0,0,NA,1Sp4,Stylophora_pistillata,1/6/2006,Stylophora,Unified,control,1Sp4_control_unified,2005-12-01,6,FALSE,TRUE,NA,1Sp4,1Sp4_control_T1,T1,2005-12-01,control_T1,7,6
1Sp4,2006-07-01,control_unified,control,1,Stylophora_pistillata,0,1,0,0,NA,1Sp4,Stylophora_pistillata,1/7/2006,Stylophora,Unified,control,1Sp4_control_unified,2005-12-01,7,FALSE,TRUE,NA,1Sp4,1Sp4_control_T1,T1,2005-12-01,control_T1,8,7
1Sp4,2006-08-01,control_unified,control,1,Stylophora_pistillata,0,2,0,0,NA,1Sp4,Stylophora_pistillata,1/8/2006,Stylophora,Unified,control,1Sp4_control_unified,2005-12-01,8,FALSE,TRUE,NA,1Sp4,1Sp4_control_T1,T1,2005-12-01,control_T1,9,8
1Sp4,2006-09-01,control_unified,control,1,Stylophora_pistillata,0,1,0,0,NA,1Sp4,Stylophora_pistillata,1/9/2006,Stylophora,Unified,control,1Sp4_control_unified,2005-12-01,9,FALSE,TRUE,NA,1Sp4,1Sp4_control_T1,T1,2005-12-01,control_T1,10,9
1Sp4,2006-11-01,control_unified,control,1,Stylophora_pistillata,0,0,0,0,NA,1Sp4,Stylophora_pistillata,1/11/2006,Stylophora,Unified,control,1Sp4_control_unified,2005-12-01,11,FALSE,TRUE,NA,1Sp4,1Sp4_control_T1,T1,2005-12-01,control_T1,11,11
1Sp4,2006-12-01,control_unified,control,1,Stylophora_pistillata,0,0,0,0,NA,1Sp4,Stylophora_pistillata,1/12/2006,Stylophora,Unified,control,1Sp4_control_unified,2005-12-01,12,FALSE,TRUE,NA,1Sp4,1Sp4_control_T1,T1,2005-12-01,control_T1,12,12
1Sp4,2007-02-01,control_unified,control,1,Stylophora_pistillata,0,0,0,0,NA,1Sp4,Stylophora_pistillata,1/2/2007,Stylophora,Unified,control,1Sp4_control_unified,2005-12-01,14,FALSE,TRUE,NA,1Sp4,1Sp4_control_T1,T1,2005-12-01,control_T1,13,14
1Sp4,2007-04-01,control_unified,control,1,Stylophora_pistillata,0,0,0,0,NA,1Sp4,Stylophora_pistillata,1/4/2007,Stylophora,Unified,control,1Sp4_control_unified,2005-12-01,16,FALSE,TRUE,NA,1Sp4,1Sp4_control_T1,T1,2005-12-01,control_T1,14,16
1Sp4,2007-06-01,control_unified,control,1,Stylophora_pistillata,0,0,0,0,NA,1Sp4,Stylophora_pistillata,1/6/2007,Stylophora,Unified,control,1Sp4_control_unified,2005-12-01,18,FALSE,TRUE,NA,1Sp4,1Sp4_control_T1,T1,2005-12-01,control_T1,15,18
1Sp5,2005-12-01,control_unified,control,1,Stylophora_pistillata,0,0,0,0,NA,1Sp5,Stylophora_pistillata,1/12/2005,Stylophora,Unified,control,1Sp5_control_unified,2005-12-01,0,FALSE,TRUE,NA,1Sp5,1Sp5_control_T1,T1,2005-12-01,control_T1,1,0
1Sp5,2006-01-01,control_unified,control,1,Stylophora_pistillata,0,0,0,0,NA,1Sp5,Stylophora_pistillata,1/1/2006,Stylophora,Unified,control,1Sp5_control_unified,2005-12-01,1,FALSE,TRUE,NA,1Sp5,1Sp5_control_T1,T1,2005-12-01,control_T1,2,1
1Sp5,2006-02-01,control_unified,control,1,Stylophora_pistillata,0,1,0,1,NA,1Sp5,Stylophora_pistillata,1/2/2006,Stylophora,Unified,control,1Sp5_control_unified,2005-12-01,2,FALSE,TRUE,NA,1Sp5,1Sp5_control_T1,T1,2005-12-01,control_T1,3,2
1Sp5,2006-03-01,control_unified,control,1,Stylophora_pistillata,0,0,0,1,NA,1Sp5,Stylophora_pistillata,1/3/2006,Stylophora,Unified,control,1Sp5_control_unified,2005-12-01,3,FALSE,TRUE,NA,1Sp5,1Sp5_control_T1,T1,2005-12-01,control_T1,4,3
1Sp5,2006-04-01,control_unified,control,1,Stylophora_pistillata,0,1,0,1,NA,1Sp5,Stylophora_pistillata,1/4/2006,Stylophora,Unified,control,1Sp5_control_unified,2005-12-01,4,FALSE,TRUE,NA,1Sp5,1Sp5_control_T1,T1,2005-12-01,control_T1,5,4
1Sp5,2006-05-01,control_unified,control,1,Stylophora_pistillata,0,1,0,1,NA,1Sp5,Stylophora_pistillata,1/5/2006,Stylophora,Unified,control,1Sp5_control_unified,2005-12-01,5,FALSE,TRUE,NA,1Sp5,1Sp5_control_T1,T1,2005-12-01,control_T1,6,5
1Sp5,2006-06-01,control_unified,control,1,Stylophora_pistillata,0,1,1,1,NA,1Sp5,Stylophora_pistillata,1/6/2006,Stylophora,Unified,control,1Sp5_control_unified,2005-12-01,6,FALSE,TRUE,NA,1Sp5,1Sp5_control_T1,T1,2005-12-01,control_T1,7,6
1Sp5,2006-07-01,control_unified,control,1,Stylophora_pistillata,0,0,0,1,NA,1Sp5,Stylophora_pistillata,1/7/2006,Stylophora,Unified,control,1Sp5_control_unified,2005-12-01,7,FALSE,TRUE,NA,1Sp5,1Sp5_control_T1,T1,2005-12-01,control_T1,8,7
1Sp5,2006-08-01,control_unified,control,1,Stylophora_pistillata,0,0,0,1,NA,1Sp5,Stylophora_pistillata,1/8/2006,Stylophora,Unified,control,1Sp5_control_unified,2005-12-01,8,FALSE,TRUE,NA,1Sp5,1Sp5_control_T1,T1,2005-12-01,control_T1,9,8
1Sp5,2006-09-01,control_unified,control,1,Stylophora_pistillata,0,0,0,1,NA,1Sp5,Stylophora_pistillata,1/9/2006,Stylophora,Unified,control,1Sp5_control_unified,2005-12-01,9,FALSE,TRUE,NA,1Sp5,1Sp5_control_T1,T1,2005-12-01,control_T1,10,9
1Sp5,2006-11-01,control_unified,control,1,Stylophora_pistillata,0,0,0,1,NA,1Sp5,Stylophora_pistillata,1/11/2006,Stylophora,Unified,control,1Sp5_control_unified,2005-12-01,11,FALSE,TRUE,NA,1Sp5,1Sp5_control_T1,T1,2005-12-01,control_T1,11,11
1Sp5,2006-12-01,control_unified,control,1,Stylophora_pistillata,0,0,0,1,NA,1Sp5,Stylophora_pistillata,1/12/2006,Stylophora,Unified,control,1Sp5_control_unified,2005-12-01,12,FALSE,TRUE,NA,1Sp5,1Sp5_control_T1,T1,2005-12-01,control_T1,12,12
1Sp5,2007-02-01,control_unified,control,1,Stylophora_pistillata,0,0,0,1,NA,1Sp5,Stylophora_pistillata,1/2/2007,Stylophora,Unified,control,1Sp5_control_unified,2005-12-01,14,FALSE,TRUE,NA,1Sp5,1Sp5_control_T1,T1,2005-12-01,control_T1,13,14
1Sp5,2007-04-01,control_unified,control,1,Stylophora_pistillata,0,0,0,1,NA,1Sp5,Stylophora_pistillata,1/4/2007,Stylophora,Unified,control,1Sp5_control_unified,2005-12-01,16,FALSE,TRUE,NA,1Sp5,1Sp5_control_T1,T1,2005-12-01,control_T1,14,16
1Sp5,2007-06-01,control_unified,control,1,Stylophora_pistillata,0,2,0,2,NA,1Sp5,Stylophora_pistillata,1/6/2007,Stylophora,Unified,control,1Sp5_control_unified,2005-12-01,18,FALSE,TRUE,NA,1Sp5,1Sp5_control_T1,T1,2005-12-01,control_T1,15,18
1Sp5,2007-07-01,control_unified,control,1,Stylophora_pistillata,0,2,0,2,NA,1Sp5,Stylophora_pistillata,1/7/2007,Stylophora,Unified,control,1Sp5_control_unified,2005-12-01,19,FALSE,TRUE,NA,1Sp5,1Sp5_control_T1,T1,2005-12-01,control_T1,16,19
1Sp5,2007-09-01,control_unified,control,1,Stylophora_pistillata,0,2,0,2,NA,1Sp5,Stylophora_pistillata,1/9/2007,Stylophora,Unified,control,1Sp5_control_unified,2005-12-01,21,FALSE,TRUE,NA,1Sp5,1Sp5_control_T1,T1,2005-12-01,control_T1,17,21
1Sp5,2007-10-01,control_unified,control,1,Stylophora_pistillata,0,2,0,2,NA,1Sp5,Stylophora_pistillata,1/10/2007,Stylophora,Unified,control,1Sp5_control_unified,2005-12-01,22,FALSE,TRUE,NA,1Sp5,1Sp5_control_T2,T2,2007-06-01,control_T2,18,22
1Sp5,2007-12-01,control_unified,control,1,Stylophora_pistillata,0,2,0,2,NA,1Sp5,Stylophora_pistillata,1/12/2007,Stylophora,Unified,control,1Sp5_control_unified,2005-12-01,24,FALSE,TRUE,NA,1Sp5,1Sp5_control_T2,T2,2007-06-01,control_T2,19,24
1Sp5,2008-09-01,control_unified,control,1,Stylophora_pistillata,0,1,0,0,NA,1Sp5,Stylophora_pistillata,1/9/2008,Stylophora,Unified,control,1Sp5_control_unified,2005-12-01,33,FALSE,TRUE,NA,1Sp5,1Sp5_control_T2,T2,2007-06-01,control_T2,20,33
1Sp5,2008-12-01,control_unified,control,1,Stylophora_pistillata,0,1,0,0,NA,1Sp5,Stylophora_pistillata,1/12/2008,Stylophora,Unified,control,1Sp5_control_unified,2005-12-01,36,FALSE,TRUE,NA,1Sp5,1Sp5_control_T2,T2,2007-06-01,control_T2,21,36
1Sp5,2009-04-01,control_unified,control,1,Stylophora_pistillata,0,0,0,1,NA,1Sp5,Stylophora_pistillata,1/4/2009,Stylophora,Unified,control,1Sp5_control_unified,2005-12-01,40,FALSE,TRUE,NA,1Sp5,1Sp5_control_T2,T2,2007-06-01,control_T2,22,40
1Sp5,2009-09-01,control_unified,control,1,Stylophora_pistillata,0,0,0,1,NA,1Sp5,Stylophora_pistillata,1/9/2009,Stylophora,Unified,control,1Sp5_control_unified,2005-12-01,45,FALSE,TRUE,NA,1Sp5,1Sp5_control_T2,T2,2007-06-01,control_T2,23,45
1Sp6,2005-12-01,control_unified,control,1,Stylophora_pistillata,0,0,0,0,NA,1Sp6,Stylophora_pistillata,1/12/2005,Stylophora,Unified,control,1Sp6_control_unified,2005-12-01,0,FALSE,TRUE,NA,1Sp6,1Sp6_control_T1,T1,2005-12-01,control_T1,1,0
1Sp6,2006-01-01,control_unified,control,1,Stylophora_pistillata,0,1,0,0,NA,1Sp6,Stylophora_pistillata,1/1/2006,Stylophora,Unified,control,1Sp6_control_unified,2005-12-01,1,FALSE,TRUE,NA,1Sp6,1Sp6_control_T1,T1,2005-12-01,control_T1,2,1
1Sp6,2006-02-01,control_unified,control,1,Stylophora_pistillata,0,2,0,1,NA,1Sp6,Stylophora_pistillata,1/2/2006,Stylophora,Unified,control,1Sp6_control_unified,2005-12-01,2,FALSE,TRUE,NA,1Sp6,1Sp6_control_T1,T1,2005-12-01,control_T1,3,2
1Sp6,2006-03-01,control_unified,control,1,Stylophora_pistillata,0,1,0,1,NA,1Sp6,Stylophora_pistillata,1/3/2006,Stylophora,Unified,control,1Sp6_control_unified,2005-12-01,3,FALSE,TRUE,NA,1Sp6,1Sp6_control_T1,T1,2005-12-01,control_T1,4,3
1Sp6,2006-04-01,control_unified,control,1,Stylophora_pistillata,0,1,0,1,NA,1Sp6,Stylophora_pistillata,1/4/2006,Stylophora,Unified,control,1Sp6_control_unified,2005-12-01,4,FALSE,TRUE,NA,1Sp6,1Sp6_control_T1,T1,2005-12-01,control_T1,5,4
